Id,Designator,Footprint,Ilosc,Comment,LCSC
1,"F202,F201",FuseHolder22mm,2,Fuse,
2,U401,NodeMCU-LoLinV3,1,NodeMCU_1.0_(ESP-12E),
3,J301,MicroSDCard_Aliexpress,1,MicroSdCard_Aliexpress,
4,"J501,J901,J801,J704,J703,J702,J701,J606,J605,J604,J603,J602,J601,J502",DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,14,DB9_Female_MountingHoles,
5,"C412,C411,C409,C408,C407,C406,C405,C404,C401,C410,C306,C305,C304,C303,C302,C301,C238,C237,C236,C235,C234,C233,C232,C229,C208,C205,C204,C203,C509,C508,C507,C506,C505,C504,C709,C708,C705,C909,C908,C907,C906,C905,C904,C903,C902,C901,C631,C630,C629,C628,C621,C620,C612,C611,C627,C626,C625,C624,C623,C622,C825,C822,C821,C820,C819,C818,C817,C816,C815,C813,C812,C811,C810,C807,C806,C805,C802,C801",C_0402_1005Metric,78,100n,C1525 
6,"J2,J807",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
7,"J1,J804,J803,J405",PinHeader_1x01_P2.54mm_Vertical,4,PinHeader,
8,Y802,Crystal_C38-LF_D3.0mm_L8.0mm_Vertical,1,32.768KHz,
9,Y801,Crystal_HC49-4H_Vertical,1,8MHz,
10,U801,LQFP-176_24x24mm_P0.5mm,1,STM32F407IGTx,C33993 
11,U303,SOP-8_3.9x4.9mm_P1.27mm,1,FRAM_MB85RC16,C8739
12,"U302,U301",SO-8_3.9x4.9mm_P1.27mm,2,EEPROM,C6482 
13,"U202,U201",VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,2,TPS62130,C43590 
14,"TP817,TP816,TP814,TP813,TP810,TP809,TP808,TP807,TP204,TP202,TP201",PinHeader_1x01_P2.54mm_Vertical,11,TestPoint,
15,"TH203,TH202,TH201",R_0402_1005Metric,3,NTC,C77130
16,SW401,SW_PUSH_6mm,1,SW_Push,
17,"R918,R917,R916,R912,R911,R910,R906,R905,R904,R810,R808,R807,R806,R805,R755,R754,R751,R750,R749,R748,R747,R746,R743,R742,R741,R740,R739,R733,R732,R731,R730,R729,R728,R727,R726,R721,R720,R719,R712,R711,R710,R709,R708,R707,R706,R705,R704,R702,R701,R675,R673,R672,R669,R668,R667,R663,R662,R661,R660,R659,R658,R650,R649,R644,R643,R637,R636,R627,R617,R616,R615,R613,R612,R611,R610,R608,R602,R601,R523,R522,R514,R513,R508,R507,R506,R503,R417,R416,R415,R414,R412,R411,R410,R409,R408,R406,R405,R404,R403,R402,R401,R302,R301,R228,R227,R226,R225,R219,R218,R217,R203",R_0402_1005Metric,111,1k,C11702 
18,"R915,R914,R913,R909,R908,R907,R903,R902,R901,R836,R833,R832,R830,R825,R824,R819,R813,R714,R713,R703,R674,R666,R665,R664,R657,R656,R640,R639,R630,R629,R628,R624,R622,R621,R607,R606,R605,R521,R520,R517,R516,R512,R511,R505,R504,R304,R231,R230,R229,R201",R_0402_1005Metric,50,10k,C25744 
19,"R835,R834,R831,R812",R_0402_1005Metric,4,NULL,
20,"R829,R828,R823,R822,R821,R820,R671,R670,R413,R224,R223,R222,R221,R220",R_0402_1005Metric,14,4k7,C25900 
21,"R827,R826",R_0402_1005Metric,2,1k5,C25867 
22,"R818,R817,R816,R815,R814,R209,R206",R_0402_1005Metric,7,47k,C25792 
23,R811,R_0402_1005Metric,1,0R,C17168 
24,"R809,R738,R737,R736,R735,R734,R725,R724,R723,R722",R_0402_1005Metric,10,22,C25092
25,"R804,R803,R802,R801,R655,R654,R653,R652,R648,R647,R646,R645,R642,R641,R626,R625,R623,R620,R619,R515,R418,R407,R303,R202",R_0402_1005Metric,24,470,C25117 
26,"R651,R638,R618,R614,R603",R_0402_1005Metric,5,75,C25133 
27,"R635,R634,R633,R632,R631,R609,R604",R_0402_1005Metric,7,1M,C26083 
28,"R519,R518,R510,R509,R502,R501",R_0402_1005Metric,6,0,C17168 
29,"R216,R215,R214,R213,R212,R211,R210,R208,R207",R_0402_1005Metric,9,100k,C25741 
30,"R205,R204",R_0402_1005Metric,2,3k6 ,(C25937 )
31,"Q805,Q721,Q720,Q719,Q718,Q717,Q713,Q712,Q711,Q710",SOT-23,10,Q_NMOS_GSD,C341711
32,"Q804,Q803,Q802,Q801,Q728,Q727,Q725,Q724,Q723,Q722,Q715,Q714,Q709,Q706,Q705,Q704,Q703,Q702,Q701,Q501,Q408,Q407,Q403,Q402,Q401,Q301",SOT-23,26,NPN,C2150
33,"Q726,Q716,Q708,Q707,Q502",SOP-8_3.76x4.96mm_P1.27mm,5,APM4953,C20897
34,"Q409,Q406,Q405,Q404,Q302",SOT-23,5,P_Mosfet,C15127
35,L801,L_0603_1608Metric,1,Ferrite,C1032 
36,"L211,L210,L209,L208,L206,L205,L204,L203",L_0603_1608Metric,8,L,C1032 
37,"L202,L201",COIL_WPN4020H2R2MT,2,L,C98361
38,"K707,K706,K705,K704,K703,K702,K701",G5NB1A4DC5,7,RELAY_G5NB-1A-E-DC5V,C48746
39,J806,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_02x07_Odd_Even,
40,"J805,J802",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02,
41,"J407,J406,J402",IDC-Header_2x05_P2.54mm_Vertical,3,Conn_02x05_Odd_Even,
42,"J404,J403",USB_Mini-B_Lumberg_2486_01_Horizontal,2,USB_B_Mini ,(C91144)
43,J401,IDC-Header_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
44,"J202,J201",SHDR2W99P0X500_1X2_1000X760X1000P,2,Screw_Terminal_01x02,
45,IC501,L293DD,1,L293DD,C21610
46,"D909,D908,D907,D906,D905,D904,D903,D902,D901,D705,D704,D701,D623,D622,D621,D620,D619,D618,D616,D615,D612,D611,D610,D609,D604,D603,D602",D_MiniMELF,27,3V3,C8056
47,D804,LED_0603_1608Metric,1,LED_BLUE,C72041 
48,D803,LED_0603_1608Metric,1,LED_GREEN,C72043 
49,"D802,D407,D405,D404,D204,D203,D202,D201",LED_0603_1608Metric,8,LED_YELLOW,C72038 
50,"D801,D501,D406,D403,D402,D401,D301",LED_0603_1608Metric,7,LED_RED,C2286 
51,"D716,D715,D714,D713,D706,D703,D702",D_SOD-123,7,D,C8598
52,"D617,D614,D613,D608,D607,D606,D605,D601",D_SOD-323,8,D,C2128
53,"D208,D206,D205",D_SMA,3,D,C22452
54,D207,D_SMB,1,Transil,
55,"C826,C824,C823,C814",C_0603_1608Metric,4,2.2uF,C23630 
56,"C809,C808,C804,C803",C_0402_1005Metric,4,10p,C32949 
57,"C715,C712,C707,C706,C503,C413,C230,C227,C226,C225,C224,C221,C220,C218,C217,C214,C211",C_0805_2012Metric,17,10u,C15850
58,"C619,C608,C607,C605,C601,C231,C228,C223,C222,C219,C215,C213,C210,C209,C207,C206",C_0402_1005Metric,16,1u,C52923 
59,"C618,C617,C616,C615,C614,C613,C610,C609,C606,C604,C603,C602,C216,C212",C_0603_1608Metric,14,100n,C14663 
60,"C202,C201",C_0402_1005Metric,2,4n7,C1538 
61,BZ401,Buzzer_12x9.5RM7.6,1,Buzzer,C96222
