Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,4n7,C_0402_1005Metric,71.577200,-95.300800,0.000000,top
C202,4n7,C_0402_1005Metric,71.577200,-101.396800,0.000000,top
C203,100n,C_0402_1005Metric,85.547200,-96.062800,90.000000,top
C204,100n,C_0402_1005Metric,84.531200,-96.062800,90.000000,top
C205,100n,C_0402_1005Metric,86.626700,-102.349300,90.000000,top
C206,1u,C_0402_1005Metric,83.515200,-96.062800,90.000000,top
C207,1u,C_0402_1005Metric,82.499200,-96.062800,90.000000,top
C208,100n,C_0402_1005Metric,85.610700,-102.349300,90.000000,top
C209,1u,C_0402_1005Metric,81.483200,-96.062800,90.000000,top
C210,1u,C_0402_1005Metric,84.594700,-102.349300,90.000000,top
C211,10u,C_0805_2012Metric,84.023200,-98.856800,270.000000,top
C212,100n,C_0603_1608Metric,62.560200,-101.460300,270.000000,top
C213,1u,C_0402_1005Metric,83.578700,-102.349300,90.000000,top
C214,10u,C_0805_2012Metric,86.055200,-98.856800,270.000000,top
C215,1u,C_0402_1005Metric,82.562700,-102.349300,90.000000,top
C216,100n,C_0603_1608Metric,61.036200,-101.460300,270.000000,top
C217,10u,C_0805_2012Metric,81.991200,-98.856800,270.000000,top
C218,10u,C_0805_2012Metric,86.055200,-105.079800,270.000000,top
C219,1u,C_0402_1005Metric,64.846200,-101.968300,270.000000,top
C220,10u,C_0805_2012Metric,79.959200,-98.856800,270.000000,top
C221,10u,C_0805_2012Metric,84.023200,-105.079800,270.000000,top
C222,1u,C_0402_1005Metric,65.862200,-101.968300,270.000000,top
C223,1u,C_0402_1005Metric,63.830200,-101.968300,270.000000,top
C224,10u,C_0805_2012Metric,81.991200,-105.079800,270.000000,top
C225,10u,C_0805_2012Metric,59.258200,-101.269800,270.000000,top
C226,10u,C_0805_2012Metric,79.959200,-105.079800,270.000000,top
C227,10u,C_0805_2012Metric,91.262200,-96.380300,90.000000,top
C228,1u,C_0402_1005Metric,90.754200,-99.809300,270.000000,top
C229,100n,C_0402_1005Metric,91.770200,-99.809300,270.000000,top
C230,10u,C_0805_2012Metric,91.262200,-102.539800,90.000000,top
C231,1u,C_0402_1005Metric,90.817700,-105.968800,270.000000,top
C232,100n,C_0402_1005Metric,91.833700,-105.968800,270.000000,top
C233,100n,C_0402_1005Metric,99.580700,-98.158300,180.000000,top
C234,100n,C_0402_1005Metric,99.580700,-100.571300,180.000000,top
C235,100n,C_0402_1005Metric,75.958700,-109.842300,180.000000,top
C236,100n,C_0402_1005Metric,72.021700,-93.713300,270.000000,top
C237,100n,C_0402_1005Metric,76.022200,-108.318300,180.000000,top
C238,100n,C_0402_1005Metric,56.845200,-81.330800,0.000000,top
C301,100n,C_0402_1005Metric,233.565700,-101.119800,270.000000,top
C302,100n,C_0402_1005Metric,232.549700,-101.142800,270.000000,top
C303,100n,C_0402_1005Metric,231.533700,-101.142800,270.000000,top
C304,100n,C_0402_1005Metric,199.974200,-80.949800,90.000000,top
C305,100n,C_0402_1005Metric,206.451200,-81.013300,90.000000,top
C306,100n,C_0402_1005Metric,128.854200,-97.967800,180.000000,top
C401,100n,C_0402_1005Metric,112.788700,-106.857800,0.000000,top
C404,100n,C_0402_1005Metric,114.820700,-107.873800,0.000000,top
C405,100n,C_0402_1005Metric,184.543700,-102.349300,0.000000,top
C406,100n,C_0402_1005Metric,191.211200,-102.349300,180.000000,top
C407,100n,C_0402_1005Metric,114.820700,-108.889800,0.000000,top
C408,100n,C_0402_1005Metric,182.552200,-102.349300,180.000000,top
C409,100n,C_0402_1005Metric,193.179700,-102.349300,0.000000,top
C410,100n,C_0402_1005Metric,181.495700,-95.427800,90.000000,top
C411,100n,C_0402_1005Metric,218.897200,-80.314800,270.000000,top
C412,100n,C_0402_1005Metric,220.103700,-74.282300,90.000000,top
C413,10u,C_0805_2012Metric,221.881700,-74.106800,90.000000,top
C503,10u,C_0805_2012Metric,65.481200,-70.662800,90.000000,top
C504,100n,C_0402_1005Metric,173.558200,-67.551300,90.000000,top
C505,100n,C_0402_1005Metric,183.464200,-67.551300,90.000000,top
C506,100n,C_0402_1005Metric,172.542200,-67.551300,90.000000,top
C507,100n,C_0402_1005Metric,188.544200,-67.551300,90.000000,top
C508,100n,C_0402_1005Metric,178.638200,-67.551300,90.000000,top
C509,100n,C_0402_1005Metric,182.448200,-67.551300,90.000000,top
C601,1u,C_0402_1005Metric,151.841200,-117.652800,270.000000,top
C602,100n,C_0603_1608Metric,211.277200,-117.144800,270.000000,top
C603,100n,C_0603_1608Metric,215.341200,-116.281300,270.000000,top
C604,100n,C_0603_1608Metric,196.799200,-117.170300,270.000000,top
C605,1u,C_0402_1005Metric,145.745200,-117.652800,270.000000,top
C606,100n,C_0603_1608Metric,212.801200,-117.144800,90.000000,top
C607,1u,C_0402_1005Metric,139.649200,-117.652800,270.000000,top
C608,1u,C_0402_1005Metric,189.306200,-117.081300,270.000000,top
C609,100n,C_0603_1608Metric,117.805200,-117.144800,270.000000,top
C610,100n,C_0603_1608Metric,112.725200,-117.144800,270.000000,top
C611,100n,C_0402_1005Metric,256.743200,-116.128800,0.000000,top
C612,100n,C_0402_1005Metric,243.789200,-116.128800,0.000000,top
C613,100n,C_0603_1608Metric,178.892200,-115.176300,90.000000,top
C614,100n,C_0603_1608Metric,174.828200,-115.176300,90.000000,top
C615,100n,C_0603_1608Metric,120.345200,-117.144800,90.000000,top
C616,100n,C_0603_1608Metric,115.265200,-117.144800,90.000000,top
C617,100n,C_0603_1608Metric,176.352200,-117.081300,90.000000,top
C618,100n,C_0603_1608Metric,172.288200,-117.081300,90.000000,top
C619,1u,C_0402_1005Metric,183.210200,-116.954300,270.000000,top
C620,100n,C_0402_1005Metric,252.425200,-116.128800,0.000000,top
C621,100n,C_0402_1005Metric,239.471200,-116.155801,0.000000,top
C622,100n,C_0402_1005Metric,111.074200,-115.747800,270.000000,top
C623,100n,C_0402_1005Metric,106.502200,-115.747800,270.000000,top
C624,100n,C_0402_1005Metric,109.042200,-115.747800,90.000000,top
C625,100n,C_0402_1005Metric,104.470200,-115.747800,90.000000,top
C626,100n,C_0402_1005Metric,108.026200,-117.652800,270.000000,top
C627,100n,C_0402_1005Metric,103.454200,-117.652800,270.000000,top
C628,100n,C_0402_1005Metric,230.962200,-116.179600,0.000000,top
C629,100n,C_0402_1005Metric,248.107200,-116.128800,0.000000,top
C630,100n,C_0402_1005Metric,235.204000,-116.179600,0.000000,top
C631,100n,C_0402_1005Metric,226.771200,-116.179600,0.000000,top
C705,100n,C_0402_1005Metric,224.421700,-75.171300,90.000000,top
C706,10u,C_0805_2012Metric,67.386200,-70.662800,90.000000,top
C707,10u,C_0805_2012Metric,75.006200,-70.535800,90.000000,top
C708,100n,C_0402_1005Metric,227.533200,-75.171300,90.000000,top
C709,100n,C_0402_1005Metric,227.088700,-67.614800,90.000000,top
C712,10u,C_0805_2012Metric,82.626200,-70.535800,90.000000,top
C715,10u,C_0805_2012Metric,90.246200,-70.535800,90.000000,top
C801,100n,C_0402_1005Metric,141.744700,-84.201000,180.000000,top
C802,100n,C_0402_1005Metric,175.018700,-94.856300,0.000000,top
C803,10p,C_0402_1005Metric,152.857200,-114.160300,0.000000,top
C804,10p,C_0402_1005Metric,162.572700,-111.810800,90.000000,top
C805,100n,C_0402_1005Metric,141.732000,-90.551000,180.000000,top
C806,100n,C_0402_1005Metric,173.609000,-89.789000,0.000000,top
C807,100n,C_0402_1005Metric,140.220700,-94.919800,180.000000,top
C808,10p,C_0402_1005Metric,149.364700,-114.160300,0.000000,top
